ISIN,TICKER,등급,섹터,Credit_Delta_$per bp,sigma_bp_3Y,sigma출처,실제스프레드리스크_1시그마_$,실제스프레드리스크_95%VaR_$,실제스프레드리스크_99%VaR_$
US44891CDM29,HYNMTR,A-,비금융,-409.92901920099996,2.287,individual_cache,-938.0,-1542.0,-2184.0
US44891CDM29,HYNMTR,A-,비금융,-630.66002954,2.287,individual_cache,-1442.0,-2373.0,-3361.0
US44891CDM29,HYNMTR,A-,비금융,-315.33001477,2.287,individual_cache,-721.0,-1186.0,-1680.0
US44891CDM29,HYNMTR,A-,비금융,-1576.6500738500001,2.287,individual_cache,-3606.0,-5932.0,-8402.0
US44891CDM29,HYNMTR,A-,비금융,-315.33001477,2.287,individual_cache,-721.0,-1186.0,-1680.0
US44891CDQ33,HYNMTR,A-,비금융,-650.62312348,1.907,individual_cache,-1241.0,-2041.0,-2891.0
US44891CDQ33,HYNMTR,A-,비금융,-1626.5578087000001,1.907,individual_cache,-3102.0,-5103.0,-7227.0
US44891CDW01,HYNMTR,A-,비금융,-174.68704187,1.675,individual_cache,-293.0,-481.0,-682.0
US44891CEE93,HYNMTR,A-,비금융,-1161.44886456,1.563,individual_cache,-1815.0,-2986.0,-4230.0
US44891CEE93,HYNMTR,A-,비금융,-387.14962152,1.563,individual_cache,-605.0,-995.0,-1410.0
US50050HAN61,CITNAT,BBB+,금융,-2231.681405184,10.018,individual_cache,-22357.0,-36777.0,-52092.0
US50050HAN61,CITNAT,BBB+,금융,-1487.787603456,10.018,individual_cache,-14905.0,-24518.0,-34728.0
US500630ED65,KDB,AA,금융,-235.39159403000002,11.315,individual_cache,-2663.0,-4381.0,-6206.0
US50064FAY07,KOREA,AA,비금융,-187.15533597499999,2.156,individual_cache,-404.0,-664.0,-940.0
US50064FBA12,KOREA,AA-,비금융,-196.96162667999997,2.123,individual_cache,-418.0,-688.0,-974.0
USH42097FS17,UBS,A,금융,-246.79483136000002,2.864,individual_cache,-707.0,-1163.0,-1647.0
